val\COCO_val2014_000000000133.jpg	maps\val\COCO_val2014_000000000133.png
val\COCO_val2014_000000003093.jpg	maps\val\COCO_val2014_000000003093.png
val\COCO_val2014_000000003192.jpg	maps\val\COCO_val2014_000000003192.png
val\COCO_val2014_000000003326.jpg	maps\val\COCO_val2014_000000003326.png
val\COCO_val2014_000000003580.jpg	maps\val\COCO_val2014_000000003580.png
val\COCO_val2014_000000003590.jpg	maps\val\COCO_val2014_000000003590.png
val\COCO_val2014_000000003716.jpg	maps\val\COCO_val2014_000000003716.png
val\COCO_val2014_000000003742.jpg	maps\val\COCO_val2014_000000003742.png
val\COCO_val2014_000000003779.jpg	maps\val\COCO_val2014_000000003779.png
val\COCO_val2014_000000003786.jpg	maps\val\COCO_val2014_000000003786.png
val\COCO_val2014_000000003983.jpg	maps\val\COCO_val2014_000000003983.png
val\COCO_val2014_000000004265.jpg	maps\val\COCO_val2014_000000004265.png
val\COCO_val2014_000000004296.jpg	maps\val\COCO_val2014_000000004296.png
val\COCO_val2014_000000004795.jpg	maps\val\COCO_val2014_000000004795.png
val\COCO_val2014_000000004988.jpg	maps\val\COCO_val2014_000000004988.png
val\COCO_val2014_000000005001.jpg	maps\val\COCO_val2014_000000005001.png
val\COCO_val2014_000000005038.jpg	maps\val\COCO_val2014_000000005038.png
val\COCO_val2014_000000005105.jpg	maps\val\COCO_val2014_000000005105.png
val\COCO_val2014_000000005107.jpg	maps\val\COCO_val2014_000000005107.png
val\COCO_val2014_000000005282.jpg	maps\val\COCO_val2014_000000005282.png
val\COCO_val2014_000000005385.jpg	maps\val\COCO_val2014_000000005385.png
val\COCO_val2014_000000005535.jpg	maps\val\COCO_val2014_000000005535.png
val\COCO_val2014_000000005599.jpg	maps\val\COCO_val2014_000000005599.png
val\COCO_val2014_000000005617.jpg	maps\val\COCO_val2014_000000005617.png
val\COCO_val2014_000000005713.jpg	maps\val\COCO_val2014_000000005713.png
val\COCO_val2014_000000005816.jpg	maps\val\COCO_val2014_000000005816.png
val\COCO_val2014_000000005965.jpg	maps\val\COCO_val2014_000000005965.png
val\COCO_val2014_000000006580.jpg	maps\val\COCO_val2014_000000006580.png
val\COCO_val2014_000000006608.jpg	maps\val\COCO_val2014_000000006608.png
val\COCO_val2014_000000006701.jpg	maps\val\COCO_val2014_000000006701.png
val\COCO_val2014_000000006712.jpg	maps\val\COCO_val2014_000000006712.png
val\COCO_val2014_000000007274.jpg	maps\val\COCO_val2014_000000007274.png
val\COCO_val2014_000000007298.jpg	maps\val\COCO_val2014_000000007298.png
val\COCO_val2014_000000007414.jpg	maps\val\COCO_val2014_000000007414.png
val\COCO_val2014_000000007511.jpg	maps\val\COCO_val2014_000000007511.png
val\COCO_val2014_000000007519.jpg	maps\val\COCO_val2014_000000007519.png
val\COCO_val2014_000000007570.jpg	maps\val\COCO_val2014_000000007570.png
val\COCO_val2014_000000007574.jpg	maps\val\COCO_val2014_000000007574.png
val\COCO_val2014_000000007726.jpg	maps\val\COCO_val2014_000000007726.png
val\COCO_val2014_000000007938.jpg	maps\val\COCO_val2014_000000007938.png
val\COCO_val2014_000000008005.jpg	maps\val\COCO_val2014_000000008005.png
val\COCO_val2014_000000008021.jpg	maps\val\COCO_val2014_000000008021.png
val\COCO_val2014_000000008119.jpg	maps\val\COCO_val2014_000000008119.png
val\COCO_val2014_000000008204.jpg	maps\val\COCO_val2014_000000008204.png
val\COCO_val2014_000000008333.jpg	maps\val\COCO_val2014_000000008333.png
val\COCO_val2014_000000008583.jpg	maps\val\COCO_val2014_000000008583.png
val\COCO_val2014_000000008594.jpg	maps\val\COCO_val2014_000000008594.png
val\COCO_val2014_000000008599.jpg	maps\val\COCO_val2014_000000008599.png
val\COCO_val2014_000000008665.jpg	maps\val\COCO_val2014_000000008665.png
val\COCO_val2014_000000008711.jpg	maps\val\COCO_val2014_000000008711.png
val\COCO_val2014_000000009002.jpg	maps\val\COCO_val2014_000000009002.png
val\COCO_val2014_000000009156.jpg	maps\val\COCO_val2014_000000009156.png
val\COCO_val2014_000000009175.jpg	maps\val\COCO_val2014_000000009175.png
val\COCO_val2014_000000009236.jpg	maps\val\COCO_val2014_000000009236.png
val\COCO_val2014_000000009400.jpg	maps\val\COCO_val2014_000000009400.png
val\COCO_val2014_000000009483.jpg	maps\val\COCO_val2014_000000009483.png
val\COCO_val2014_000000009527.jpg	maps\val\COCO_val2014_000000009527.png
val\COCO_val2014_000000009769.jpg	maps\val\COCO_val2014_000000009769.png
val\COCO_val2014_000000009891.jpg	maps\val\COCO_val2014_000000009891.png
val\COCO_val2014_000000009914.jpg	maps\val\COCO_val2014_000000009914.png
val\COCO_val2014_000000010138.jpg	maps\val\COCO_val2014_000000010138.png
val\COCO_val2014_000000010216.jpg	maps\val\COCO_val2014_000000010216.png
val\COCO_val2014_000000010393.jpg	maps\val\COCO_val2014_000000010393.png
val\COCO_val2014_000000010705.jpg	maps\val\COCO_val2014_000000010705.png
val\COCO_val2014_000000010707.jpg	maps\val\COCO_val2014_000000010707.png
val\COCO_val2014_000000011291.jpg	maps\val\COCO_val2014_000000011291.png
val\COCO_val2014_000000011305.jpg	maps\val\COCO_val2014_000000011305.png
val\COCO_val2014_000000011360.jpg	maps\val\COCO_val2014_000000011360.png
val\COCO_val2014_000000011494.jpg	maps\val\COCO_val2014_000000011494.png
val\COCO_val2014_000000011696.jpg	maps\val\COCO_val2014_000000011696.png
val\COCO_val2014_000000011796.jpg	maps\val\COCO_val2014_000000011796.png
val\COCO_val2014_000000011887.jpg	maps\val\COCO_val2014_000000011887.png
val\COCO_val2014_000000011987.jpg	maps\val\COCO_val2014_000000011987.png
val\COCO_val2014_000000012085.jpg	maps\val\COCO_val2014_000000012085.png
val\COCO_val2014_000000012209.jpg	maps\val\COCO_val2014_000000012209.png
val\COCO_val2014_000000012230.jpg	maps\val\COCO_val2014_000000012230.png
val\COCO_val2014_000000012238.jpg	maps\val\COCO_val2014_000000012238.png
val\COCO_val2014_000000012375.jpg	maps\val\COCO_val2014_000000012375.png
val\COCO_val2014_000000012443.jpg	maps\val\COCO_val2014_000000012443.png
val\COCO_val2014_000000012700.jpg	maps\val\COCO_val2014_000000012700.png
val\COCO_val2014_000000012764.jpg	maps\val\COCO_val2014_000000012764.png
val\COCO_val2014_000000012818.jpg	maps\val\COCO_val2014_000000012818.png
val\COCO_val2014_000000012991.jpg	maps\val\COCO_val2014_000000012991.png
val\COCO_val2014_000000013081.jpg	maps\val\COCO_val2014_000000013081.png
val\COCO_val2014_000000013383.jpg	maps\val\COCO_val2014_000000013383.png
val\COCO_val2014_000000013490.jpg	maps\val\COCO_val2014_000000013490.png
val\COCO_val2014_000000013659.jpg	maps\val\COCO_val2014_000000013659.png
val\COCO_val2014_000000013729.jpg	maps\val\COCO_val2014_000000013729.png
val\COCO_val2014_000000013943.jpg	maps\val\COCO_val2014_000000013943.png
val\COCO_val2014_000000014108.jpg	maps\val\COCO_val2014_000000014108.png
val\COCO_val2014_000000014226.jpg	maps\val\COCO_val2014_000000014226.png
val\COCO_val2014_000000014248.jpg	maps\val\COCO_val2014_000000014248.png
val\COCO_val2014_000000014297.jpg	maps\val\COCO_val2014_000000014297.png
val\COCO_val2014_000000014353.jpg	maps\val\COCO_val2014_000000014353.png
val\COCO_val2014_000000014494.jpg	maps\val\COCO_val2014_000000014494.png
val\COCO_val2014_000000014635.jpg	maps\val\COCO_val2014_000000014635.png
val\COCO_val2014_000000014713.jpg	maps\val\COCO_val2014_000000014713.png
val\COCO_val2014_000000015017.jpg	maps\val\COCO_val2014_000000015017.png
val\COCO_val2014_000000015157.jpg	maps\val\COCO_val2014_000000015157.png
val\COCO_val2014_000000015335.jpg	maps\val\COCO_val2014_000000015335.png
val\COCO_val2014_000000015345.jpg	maps\val\COCO_val2014_000000015345.png
val\COCO_val2014_000000015497.jpg	maps\val\COCO_val2014_000000015497.png
val\COCO_val2014_000000015725.jpg	maps\val\COCO_val2014_000000015725.png
val\COCO_val2014_000000015846.jpg	maps\val\COCO_val2014_000000015846.png
val\COCO_val2014_000000015850.jpg	maps\val\COCO_val2014_000000015850.png
val\COCO_val2014_000000015947.jpg	maps\val\COCO_val2014_000000015947.png
val\COCO_val2014_000000015956.jpg	maps\val\COCO_val2014_000000015956.png
val\COCO_val2014_000000016382.jpg	maps\val\COCO_val2014_000000016382.png
val\COCO_val2014_000000016439.jpg	maps\val\COCO_val2014_000000016439.png
val\COCO_val2014_000000016593.jpg	maps\val\COCO_val2014_000000016593.png
val\COCO_val2014_000000016775.jpg	maps\val\COCO_val2014_000000016775.png
val\COCO_val2014_000000016896.jpg	maps\val\COCO_val2014_000000016896.png
val\COCO_val2014_000000016961.jpg	maps\val\COCO_val2014_000000016961.png
val\COCO_val2014_000000016977.jpg	maps\val\COCO_val2014_000000016977.png
val\COCO_val2014_000000017018.jpg	maps\val\COCO_val2014_000000017018.png
val\COCO_val2014_000000017095.jpg	maps\val\COCO_val2014_000000017095.png
val\COCO_val2014_000000017207.jpg	maps\val\COCO_val2014_000000017207.png
val\COCO_val2014_000000017282.jpg	maps\val\COCO_val2014_000000017282.png
val\COCO_val2014_000000017311.jpg	maps\val\COCO_val2014_000000017311.png
val\COCO_val2014_000000017313.jpg	maps\val\COCO_val2014_000000017313.png
val\COCO_val2014_000000017350.jpg	maps\val\COCO_val2014_000000017350.png
val\COCO_val2014_000000017425.jpg	maps\val\COCO_val2014_000000017425.png
val\COCO_val2014_000000017482.jpg	maps\val\COCO_val2014_000000017482.png
val\COCO_val2014_000000017627.jpg	maps\val\COCO_val2014_000000017627.png
val\COCO_val2014_000000017667.jpg	maps\val\COCO_val2014_000000017667.png
val\COCO_val2014_000000017708.jpg	maps\val\COCO_val2014_000000017708.png
val\COCO_val2014_000000017714.jpg	maps\val\COCO_val2014_000000017714.png
val\COCO_val2014_000000018150.jpg	maps\val\COCO_val2014_000000018150.png
val\COCO_val2014_000000018193.jpg	maps\val\COCO_val2014_000000018193.png
val\COCO_val2014_000000018224.jpg	maps\val\COCO_val2014_000000018224.png
val\COCO_val2014_000000018442.jpg	maps\val\COCO_val2014_000000018442.png
val\COCO_val2014_000000018575.jpg	maps\val\COCO_val2014_000000018575.png
val\COCO_val2014_000000018687.jpg	maps\val\COCO_val2014_000000018687.png
val\COCO_val2014_000000018699.jpg	maps\val\COCO_val2014_000000018699.png
val\COCO_val2014_000000018837.jpg	maps\val\COCO_val2014_000000018837.png
val\COCO_val2014_000000018903.jpg	maps\val\COCO_val2014_000000018903.png
val\COCO_val2014_000000018918.jpg	maps\val\COCO_val2014_000000018918.png
val\COCO_val2014_000000019132.jpg	maps\val\COCO_val2014_000000019132.png
val\COCO_val2014_000000019158.jpg	maps\val\COCO_val2014_000000019158.png
val\COCO_val2014_000000019176.jpg	maps\val\COCO_val2014_000000019176.png
val\COCO_val2014_000000019292.jpg	maps\val\COCO_val2014_000000019292.png
val\COCO_val2014_000000019432.jpg	maps\val\COCO_val2014_000000019432.png
val\COCO_val2014_000000019456.jpg	maps\val\COCO_val2014_000000019456.png
val\COCO_val2014_000000019523.jpg	maps\val\COCO_val2014_000000019523.png
val\COCO_val2014_000000019544.jpg	maps\val\COCO_val2014_000000019544.png
val\COCO_val2014_000000019624.jpg	maps\val\COCO_val2014_000000019624.png
val\COCO_val2014_000000019631.jpg	maps\val\COCO_val2014_000000019631.png
val\COCO_val2014_000000019763.jpg	maps\val\COCO_val2014_000000019763.png
val\COCO_val2014_000000020038.jpg	maps\val\COCO_val2014_000000020038.png
val\COCO_val2014_000000020161.jpg	maps\val\COCO_val2014_000000020161.png
val\COCO_val2014_000000020268.jpg	maps\val\COCO_val2014_000000020268.png
val\COCO_val2014_000000020273.jpg	maps\val\COCO_val2014_000000020273.png
val\COCO_val2014_000000020334.jpg	maps\val\COCO_val2014_000000020334.png
val\COCO_val2014_000000020410.jpg	maps\val\COCO_val2014_000000020410.png
val\COCO_val2014_000000020485.jpg	maps\val\COCO_val2014_000000020485.png
val\COCO_val2014_000000020641.jpg	maps\val\COCO_val2014_000000020641.png
val\COCO_val2014_000000020646.jpg	maps\val\COCO_val2014_000000020646.png
val\COCO_val2014_000000020650.jpg	maps\val\COCO_val2014_000000020650.png
val\COCO_val2014_000000020671.jpg	maps\val\COCO_val2014_000000020671.png
val\COCO_val2014_000000020748.jpg	maps\val\COCO_val2014_000000020748.png
val\COCO_val2014_000000020784.jpg	maps\val\COCO_val2014_000000020784.png
val\COCO_val2014_000000020925.jpg	maps\val\COCO_val2014_000000020925.png
val\COCO_val2014_000000020979.jpg	maps\val\COCO_val2014_000000020979.png
val\COCO_val2014_000000021503.jpg	maps\val\COCO_val2014_000000021503.png
val\COCO_val2014_000000021639.jpg	maps\val\COCO_val2014_000000021639.png
val\COCO_val2014_000000021971.jpg	maps\val\COCO_val2014_000000021971.png
val\COCO_val2014_000000021979.jpg	maps\val\COCO_val2014_000000021979.png
val\COCO_val2014_000000022072.jpg	maps\val\COCO_val2014_000000022072.png
val\COCO_val2014_000000022118.jpg	maps\val\COCO_val2014_000000022118.png
val\COCO_val2014_000000022129.jpg	maps\val\COCO_val2014_000000022129.png
val\COCO_val2014_000000022158.jpg	maps\val\COCO_val2014_000000022158.png
val\COCO_val2014_000000022199.jpg	maps\val\COCO_val2014_000000022199.png
val\COCO_val2014_000000022271.jpg	maps\val\COCO_val2014_000000022271.png
val\COCO_val2014_000000022446.jpg	maps\val\COCO_val2014_000000022446.png
val\COCO_val2014_000000022474.jpg	maps\val\COCO_val2014_000000022474.png
val\COCO_val2014_000000022671.jpg	maps\val\COCO_val2014_000000022671.png
val\COCO_val2014_000000023121.jpg	maps\val\COCO_val2014_000000023121.png
val\COCO_val2014_000000023201.jpg	maps\val\COCO_val2014_000000023201.png
val\COCO_val2014_000000023320.jpg	maps\val\COCO_val2014_000000023320.png
val\COCO_val2014_000000023807.jpg	maps\val\COCO_val2014_000000023807.png
val\COCO_val2014_000000024061.jpg	maps\val\COCO_val2014_000000024061.png
val\COCO_val2014_000000024104.jpg	maps\val\COCO_val2014_000000024104.png
val\COCO_val2014_000000024112.jpg	maps\val\COCO_val2014_000000024112.png
val\COCO_val2014_000000024223.jpg	maps\val\COCO_val2014_000000024223.png
val\COCO_val2014_000000024243.jpg	maps\val\COCO_val2014_000000024243.png
val\COCO_val2014_000000024396.jpg	maps\val\COCO_val2014_000000024396.png
val\COCO_val2014_000000024553.jpg	maps\val\COCO_val2014_000000024553.png
val\COCO_val2014_000000024610.jpg	maps\val\COCO_val2014_000000024610.png
val\COCO_val2014_000000024693.jpg	maps\val\COCO_val2014_000000024693.png
val\COCO_val2014_000000024880.jpg	maps\val\COCO_val2014_000000024880.png
val\COCO_val2014_000000025123.jpg	maps\val\COCO_val2014_000000025123.png
val\COCO_val2014_000000025282.jpg	maps\val\COCO_val2014_000000025282.png
val\COCO_val2014_000000025393.jpg	maps\val\COCO_val2014_000000025393.png
val\COCO_val2014_000000025521.jpg	maps\val\COCO_val2014_000000025521.png
val\COCO_val2014_000000025550.jpg	maps\val\COCO_val2014_000000025550.png
val\COCO_val2014_000000025560.jpg	maps\val\COCO_val2014_000000025560.png
val\COCO_val2014_000000025595.jpg	maps\val\COCO_val2014_000000025595.png
val\COCO_val2014_000000025603.jpg	maps\val\COCO_val2014_000000025603.png
val\COCO_val2014_000000025853.jpg	maps\val\COCO_val2014_000000025853.png
val\COCO_val2014_000000025860.jpg	maps\val\COCO_val2014_000000025860.png
val\COCO_val2014_000000025986.jpg	maps\val\COCO_val2014_000000025986.png
val\COCO_val2014_000000025997.jpg	maps\val\COCO_val2014_000000025997.png
val\COCO_val2014_000000026363.jpg	maps\val\COCO_val2014_000000026363.png
val\COCO_val2014_000000026611.jpg	maps\val\COCO_val2014_000000026611.png
val\COCO_val2014_000000026730.jpg	maps\val\COCO_val2014_000000026730.png
val\COCO_val2014_000000026768.jpg	maps\val\COCO_val2014_000000026768.png
val\COCO_val2014_000000026992.jpg	maps\val\COCO_val2014_000000026992.png
val\COCO_val2014_000000027478.jpg	maps\val\COCO_val2014_000000027478.png
val\COCO_val2014_000000027493.jpg	maps\val\COCO_val2014_000000027493.png
val\COCO_val2014_000000027519.jpg	maps\val\COCO_val2014_000000027519.png
val\COCO_val2014_000000027578.jpg	maps\val\COCO_val2014_000000027578.png
val\COCO_val2014_000000027620.jpg	maps\val\COCO_val2014_000000027620.png
val\COCO_val2014_000000027642.jpg	maps\val\COCO_val2014_000000027642.png
val\COCO_val2014_000000027656.jpg	maps\val\COCO_val2014_000000027656.png
val\COCO_val2014_000000027789.jpg	maps\val\COCO_val2014_000000027789.png
val\COCO_val2014_000000027975.jpg	maps\val\COCO_val2014_000000027975.png
val\COCO_val2014_000000028273.jpg	maps\val\COCO_val2014_000000028273.png
val\COCO_val2014_000000028540.jpg	maps\val\COCO_val2014_000000028540.png
val\COCO_val2014_000000028675.jpg	maps\val\COCO_val2014_000000028675.png
val\COCO_val2014_000000028682.jpg	maps\val\COCO_val2014_000000028682.png
val\COCO_val2014_000000028719.jpg	maps\val\COCO_val2014_000000028719.png
val\COCO_val2014_000000028874.jpg	maps\val\COCO_val2014_000000028874.png
val\COCO_val2014_000000029059.jpg	maps\val\COCO_val2014_000000029059.png
val\COCO_val2014_000000030534.jpg	maps\val\COCO_val2014_000000030534.png
val\COCO_val2014_000000030657.jpg	maps\val\COCO_val2014_000000030657.png
val\COCO_val2014_000000030706.jpg	maps\val\COCO_val2014_000000030706.png
val\COCO_val2014_000000030785.jpg	maps\val\COCO_val2014_000000030785.png
val\COCO_val2014_000000031519.jpg	maps\val\COCO_val2014_000000031519.png
val\COCO_val2014_000000031569.jpg	maps\val\COCO_val2014_000000031569.png
val\COCO_val2014_000000031636.jpg	maps\val\COCO_val2014_000000031636.png
val\COCO_val2014_000000031735.jpg	maps\val\COCO_val2014_000000031735.png
val\COCO_val2014_000000031773.jpg	maps\val\COCO_val2014_000000031773.png
val\COCO_val2014_000000031796.jpg	maps\val\COCO_val2014_000000031796.png
val\COCO_val2014_000000032001.jpg	maps\val\COCO_val2014_000000032001.png
val\COCO_val2014_000000032300.jpg	maps\val\COCO_val2014_000000032300.png
val\COCO_val2014_000000032334.jpg	maps\val\COCO_val2014_000000032334.png
val\COCO_val2014_000000032777.jpg	maps\val\COCO_val2014_000000032777.png
val\COCO_val2014_000000032887.jpg	maps\val\COCO_val2014_000000032887.png
val\COCO_val2014_000000032907.jpg	maps\val\COCO_val2014_000000032907.png
val\COCO_val2014_000000032965.jpg	maps\val\COCO_val2014_000000032965.png
val\COCO_val2014_000000033008.jpg	maps\val\COCO_val2014_000000033008.png
val\COCO_val2014_000000033073.jpg	maps\val\COCO_val2014_000000033073.png
val\COCO_val2014_000000033109.jpg	maps\val\COCO_val2014_000000033109.png
val\COCO_val2014_000000033114.jpg	maps\val\COCO_val2014_000000033114.png
val\COCO_val2014_000000033116.jpg	maps\val\COCO_val2014_000000033116.png
val\COCO_val2014_000000033345.jpg	maps\val\COCO_val2014_000000033345.png
val\COCO_val2014_000000033377.jpg	maps\val\COCO_val2014_000000033377.png
val\COCO_val2014_000000033489.jpg	maps\val\COCO_val2014_000000033489.png
val\COCO_val2014_000000033645.jpg	maps\val\COCO_val2014_000000033645.png
val\COCO_val2014_000000033652.jpg	maps\val\COCO_val2014_000000033652.png
val\COCO_val2014_000000033717.jpg	maps\val\COCO_val2014_000000033717.png
val\COCO_val2014_000000033835.jpg	maps\val\COCO_val2014_000000033835.png
val\COCO_val2014_000000033904.jpg	maps\val\COCO_val2014_000000033904.png
val\COCO_val2014_000000034114.jpg	maps\val\COCO_val2014_000000034114.png
val\COCO_val2014_000000034139.jpg	maps\val\COCO_val2014_000000034139.png
val\COCO_val2014_000000034196.jpg	maps\val\COCO_val2014_000000034196.png
val\COCO_val2014_000000034438.jpg	maps\val\COCO_val2014_000000034438.png
val\COCO_val2014_000000034445.jpg	maps\val\COCO_val2014_000000034445.png
val\COCO_val2014_000000034452.jpg	maps\val\COCO_val2014_000000034452.png
val\COCO_val2014_000000034464.jpg	maps\val\COCO_val2014_000000034464.png
val\COCO_val2014_000000034471.jpg	maps\val\COCO_val2014_000000034471.png
val\COCO_val2014_000000034500.jpg	maps\val\COCO_val2014_000000034500.png
val\COCO_val2014_000000034580.jpg	maps\val\COCO_val2014_000000034580.png
val\COCO_val2014_000000034582.jpg	maps\val\COCO_val2014_000000034582.png
val\COCO_val2014_000000034657.jpg	maps\val\COCO_val2014_000000034657.png
val\COCO_val2014_000000034701.jpg	maps\val\COCO_val2014_000000034701.png
val\COCO_val2014_000000034786.jpg	maps\val\COCO_val2014_000000034786.png
val\COCO_val2014_000000034820.jpg	maps\val\COCO_val2014_000000034820.png
val\COCO_val2014_000000034873.jpg	maps\val\COCO_val2014_000000034873.png
val\COCO_val2014_000000034950.jpg	maps\val\COCO_val2014_000000034950.png
val\COCO_val2014_000000035176.jpg	maps\val\COCO_val2014_000000035176.png
val\COCO_val2014_000000035269.jpg	maps\val\COCO_val2014_000000035269.png
val\COCO_val2014_000000035326.jpg	maps\val\COCO_val2014_000000035326.png
val\COCO_val2014_000000035429.jpg	maps\val\COCO_val2014_000000035429.png
val\COCO_val2014_000000035435.jpg	maps\val\COCO_val2014_000000035435.png
val\COCO_val2014_000000035711.jpg	maps\val\COCO_val2014_000000035711.png
val\COCO_val2014_000000035726.jpg	maps\val\COCO_val2014_000000035726.png
val\COCO_val2014_000000035825.jpg	maps\val\COCO_val2014_000000035825.png
val\COCO_val2014_000000035891.jpg	maps\val\COCO_val2014_000000035891.png
val\COCO_val2014_000000035894.jpg	maps\val\COCO_val2014_000000035894.png
val\COCO_val2014_000000035975.jpg	maps\val\COCO_val2014_000000035975.png
val\COCO_val2014_000000036077.jpg	maps\val\COCO_val2014_000000036077.png
val\COCO_val2014_000000036460.jpg	maps\val\COCO_val2014_000000036460.png
val\COCO_val2014_000000036492.jpg	maps\val\COCO_val2014_000000036492.png
val\COCO_val2014_000000036508.jpg	maps\val\COCO_val2014_000000036508.png
val\COCO_val2014_000000036614.jpg	maps\val\COCO_val2014_000000036614.png
val\COCO_val2014_000000036661.jpg	maps\val\COCO_val2014_000000036661.png
val\COCO_val2014_000000036810.jpg	maps\val\COCO_val2014_000000036810.png
val\COCO_val2014_000000036844.jpg	maps\val\COCO_val2014_000000036844.png
val\COCO_val2014_000000037017.jpg	maps\val\COCO_val2014_000000037017.png
val\COCO_val2014_000000037367.jpg	maps\val\COCO_val2014_000000037367.png
val\COCO_val2014_000000037403.jpg	maps\val\COCO_val2014_000000037403.png
val\COCO_val2014_000000037615.jpg	maps\val\COCO_val2014_000000037615.png
val\COCO_val2014_000000037616.jpg	maps\val\COCO_val2014_000000037616.png
val\COCO_val2014_000000037670.jpg	maps\val\COCO_val2014_000000037670.png
val\COCO_val2014_000000037671.jpg	maps\val\COCO_val2014_000000037671.png
val\COCO_val2014_000000037688.jpg	maps\val\COCO_val2014_000000037688.png
val\COCO_val2014_000000037709.jpg	maps\val\COCO_val2014_000000037709.png
val\COCO_val2014_000000037729.jpg	maps\val\COCO_val2014_000000037729.png
val\COCO_val2014_000000037740.jpg	maps\val\COCO_val2014_000000037740.png
val\COCO_val2014_000000037751.jpg	maps\val\COCO_val2014_000000037751.png
val\COCO_val2014_000000037988.jpg	maps\val\COCO_val2014_000000037988.png
val\COCO_val2014_000000038034.jpg	maps\val\COCO_val2014_000000038034.png
val\COCO_val2014_000000038073.jpg	maps\val\COCO_val2014_000000038073.png
val\COCO_val2014_000000038186.jpg	maps\val\COCO_val2014_000000038186.png
val\COCO_val2014_000000038439.jpg	maps\val\COCO_val2014_000000038439.png
val\COCO_val2014_000000038540.jpg	maps\val\COCO_val2014_000000038540.png
val\COCO_val2014_000000038769.jpg	maps\val\COCO_val2014_000000038769.png
val\COCO_val2014_000000038817.jpg	maps\val\COCO_val2014_000000038817.png
val\COCO_val2014_000000038865.jpg	maps\val\COCO_val2014_000000038865.png
val\COCO_val2014_000000038875.jpg	maps\val\COCO_val2014_000000038875.png
val\COCO_val2014_000000039081.jpg	maps\val\COCO_val2014_000000039081.png
val\COCO_val2014_000000039405.jpg	maps\val\COCO_val2014_000000039405.png
